DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,
1949-12-06,Alfredo DE ANGELIS,Santa madrecita,Carlos Dante,TANGO,Juan D'Arienzo y Héctor Varela,Carlos Waiss,ANGELIS,
1949-12-13,Alfredo DE ANGELIS,Carro viejo,Julio Martel,TANGO,Fernando Montoni,Máximo Orsi,ANGELIS,
1949-12-13,Alfredo DE ANGELIS,La limosna,Julio Martel,TANGO,Juan José Guichandut,Horacio Sanguinetti,ANGELIS,
1949-12-23,Alfredo DE ANGELIS,Adiós vidalita,Carlos Dante,TANGO,?,?,ANGELIS,
1949-12-23,Alfredo DE ANGELIS,Al pie de la Santa Cruz,Carlos Dante,TANGO,Enrique Delfino,Mario Battistella,ANGELIS,
1950-03-28,Alfredo DE ANGELIS,Gloria,Carlos Dante,TANGO,Humberto Canaro,Armando Tagini,ANGELIS,
1950-03-28,Alfredo DE ANGELIS,Sos bueno vos también,Julio Martel,TANGO,Francisco Canaro,Juan Andrés Caruso,ANGELIS,
1950-04-16,Alfredo DE ANGELIS,No vuelvas María,Carlos Dante y Julio Martel,VALS,Juan Larenza,Cátulo Castillo,ANGELIS,
1950-04-19,Alfredo DE ANGELIS,Jorge Duval,,TANGO,Alfredo De Angelis,,ANGELIS,
1950-05-19,Alfredo DE ANGELIS,Adiós muchachos,Julio Martel,TANGO,Julio César Sanders,César Vedani,ANGELIS,
1950-05-19,Alfredo DE ANGELIS,Bésame en la boca,Carlos Dante,TANGO,José María Rizzuti,Eduardo Calvo,ANGELIS,
1950-06-07,Alfredo DE ANGELIS,El otario,,MILONGA,Gerardo Metallo,Juan Velich,ANGELIS,
1950-06-07,Alfredo DE ANGELIS,El santo de la espada,Julio Martel,VALS,Luis Mendoza,Reinaldo Yiso,ANGELIS,
1950-06-07,Alfredo DE ANGELIS,La marcha nupcial,Carlos Dante,TANGO,Venancio Clauso,Armando Tagini,ANGELIS,
1950-07-20,Alfredo DE ANGELIS,9 de Julio,,TANGO,José Luis Padula,Lito Bayardo,ANGELIS,
1950-09-22,Alfredo DE ANGELIS,Nunca te podré olvidar,Carlos Dante,TANGO,?,?,ANGELIS,
1950-09-22,Alfredo DE ANGELIS,Virgen de la serrania,Carlos Dante y Julio Martel,TANGO,Osvaldo Donato,Alberto Cosentino,ANGELIS,
1950-11-10,Alfredo DE ANGELIS,Como la caperucita,Carlos Dante y Julio Martel,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,
1950-11-10,Alfredo DE ANGELIS,Selecciones de Enrique Delfino,Carlos Dante y Julio Martel,TANGO,Enrique Delfino,,ANGELIS,
1950-12-12,Alfredo DE ANGELIS,Apadrinando,Carlos Dante,VALS,Víctor Braña,Enrique Gaudino,ANGELIS,
1950-12-12,Alfredo DE ANGELIS,Imaginación,,VALS,Elvino Vardaro y Oscar Arona,Francisco García Jiménez,ANGELIS,
1950-12-12,Alfredo DE ANGELIS,Largaron,,TANGO,?,?,ANGELIS,
1950-12-12,Alfredo DE ANGELIS,Tus palabras y la noche,Julio Martel,TANGO,Emilio Querejeta,Carlos Cacciari,ANGELIS,
1951-05-10,Alfredo DE ANGELIS,Flor de fango,Oscar Larroca,TANGO,Augusto Gentile,Pascual Contursi,ANGELIS,
1951-05-10,Alfredo DE ANGELIS,Llevátelo todo,Oscar Larroca,TANGO,Rodolfo Sciammarella,Rodolfo Sciammarella,ANGELIS,
