DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,,,,
8/16/49,Alfredo DE ANGELIS,Compadrón,Carlos Dante,TANGO,Luis Visca,Enrique Cadícamo,ANGELIS,,,,
9/26/49,Alfredo DE ANGELIS,Amigazo,Carlos Dante,TANGO,Juan de Dios Filiberto,Francisco Brancatti y Juan Velich,ANGELIS,,,,
9/26/49,Alfredo DE ANGELIS,Buscando perdón,Carlos Dante,TANGO,Alberto Talián y Eduardo Talián,Santiago Adamini,ANGELIS,,,,
10/14/49,Alfredo DE ANGELIS,Misa de once,Julio Martel,TANGO,Juan José Guichandut,Armando Tagini,ANGELIS,,,,
10/14/49,Alfredo DE ANGELIS,Pequeña,Carlos Dante,VALS,Osmar Maderna,Homero Expósito,ANGELIS,,,,
12/6/49,Alfredo DE ANGELIS,Carga,Carlos Dante,TANGO,Wenceslao Cinosi y Wellington Cinosi,Carlos Bahr,ANGELIS,,,,
12/6/49,Alfredo DE ANGELIS,Santa madrecita,Carlos Dante,TANGO,Juan D'Arienzo y Héctor Varela,Carlos Waiss,ANGELIS,,,,
12/13/49,Alfredo DE ANGELIS,Carro viejo,Julio Martel,TANGO,Fernando Montoni,Máximo Orsi,ANGELIS,,,,
12/13/49,Alfredo DE ANGELIS,La limosna,Julio Martel,TANGO,Juan José Guichandut,Horacio Sanguinetti,ANGELIS,,,,
12/23/49,Alfredo DE ANGELIS,Adiós vidalita,Carlos Dante,TANGO,?,?,ANGELIS,,,,
12/23/49,Alfredo DE ANGELIS,Al pie de la Santa Cruz,Carlos Dante,TANGO,Enrique Delfino,Mario Battistella,ANGELIS,,,,
3/28/50,Alfredo DE ANGELIS,Gloria,Carlos Dante,TANGO,Humberto Canaro,Armando Tagini,ANGELIS,,,,
3/28/50,Alfredo DE ANGELIS,Sos bueno vos también,Julio Martel,TANGO,Francisco Canaro,Juan Andrés Caruso,ANGELIS,,,,
4/16/50,Alfredo DE ANGELIS,No vuelvas María,Carlos Dante y Julio Martel,VALS,Juan Larenza,Cátulo Castillo,ANGELIS,,,,
4/19/50,Alfredo DE ANGELIS,Jorge Duval,,TANGO,Alfredo De Angelis,,ANGELIS,,,,
5/19/50,Alfredo DE ANGELIS,Adiós muchachos,Julio Martel,TANGO,Julio César Sanders,César Vedani,ANGELIS,,,,
5/19/50,Alfredo DE ANGELIS,Bésame en la boca,Carlos Dante,TANGO,José María Rizzuti,Eduardo Calvo,ANGELIS,,,,
6/7/50,Alfredo DE ANGELIS,El otario,,MILONGA,Gerardo Metallo,Juan Velich,ANGELIS,,,,
6/7/50,Alfredo DE ANGELIS,El santo de la espada,Julio Martel,VALS,Luis Mendoza,Reinaldo Yiso,ANGELIS,,,,
6/7/50,Alfredo DE ANGELIS,La marcha nupcial,Carlos Dante,TANGO,Venancio Clauso,Armando Tagini,ANGELIS,,,,
7/20/50,Alfredo DE ANGELIS,9 de Julio,,TANGO,José Luis Padula,Lito Bayardo,ANGELIS,,,,
9/22/50,Alfredo DE ANGELIS,Nunca te podré olvidar,Carlos Dante,TANGO,?,?,ANGELIS,,,,
9/22/50,Alfredo DE ANGELIS,Virgen de la serrania,Carlos Dante y Julio Martel,TANGO,Osvaldo Donato,Alberto Cosentino,ANGELIS,,,,
11/10/50,Alfredo DE ANGELIS,Como la caperucita,Carlos Dante y Julio Martel,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,,,,
11/10/50,Alfredo DE ANGELIS,Selecciones de Enrique Delfino,Carlos Dante y Julio Martel,TANGO,Enrique Delfino,,ANGELIS,,,,
12/12/50,Alfredo DE ANGELIS,Apadrinando,Carlos Dante,VALS,Víctor Braña,Enrique Gaudino,ANGELIS,,,,
12/12/50,Alfredo DE ANGELIS,Imaginación,,VALS,Elvino Vardaro y Oscar Arona,Francisco García Jiménez,ANGELIS,,,,
12/12/50,Alfredo DE ANGELIS,Largaron,,TANGO,?,?,ANGELIS,,,,
12/12/50,Alfredo DE ANGELIS,Tus palabras y la noche,Julio Martel,TANGO,Emilio Querejeta,Carlos Cacciari,ANGELIS,,,,
